Nume_actiune,Timestamp
login,2021-04-25T20:01:23.884388100
showGrades,2021-04-25T20:01:26.802097300
showGrades,2021-04-25T20:01:28.219024
showCoursesByCategory,2021-04-25T20:01:39.349588900
exit,2021-04-25T20:01:53.172014500
register,2021-04-25T20:06:10.878227500
showCoursesByCategory,2021-04-25T20:06:17.306564200
logout,2021-04-25T20:06:39.628414
exit,2021-04-25T20:06:41.203154400
login,2021-04-27T20:14:21.017282
createCourse,2021-04-27T20:15:00.319205800
addQuestion,2021-04-27T20:15:21.828596800
addQuiz,2021-04-27T20:18:51.487425600
logout,2021-04-27T20:19:02.441856300
login,2021-04-27T20:19:28.129318200
showGrades,2021-04-27T20:19:31.600068500
joinCourse,2021-04-27T20:19:51.181136400
takeQuiz,2021-04-27T20:21:24.812597600
showGrades,2021-04-27T20:21:31.167718200
logout,2021-04-27T20:21:38.591290800
login,2021-04-27T20:21:55.162547700
scoreAnswer,2021-04-27T20:22:37.045378400
logout,2021-04-27T20:22:49.323899600
login,2021-04-27T20:23:02.583641800
showGrades,2021-04-27T20:23:04.686690900
exit,2021-04-27T20:23:51.032544500